"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"schurter__smd_momentary_switch_lsg_no_6x6mm";1;"reset";;;
2;"D2";"LED-0805";1;"LED_Bootloader";;;
3;"D3";"LED-0805";1;"LED_Info";;;
4;"P1";"Pin_Header_Straight_1x10";1;"CONN_SPI_3.3V";;;
5;"P3";"Pin_Header_Straight_2x03";1;"CONN_ICSP";;;
6;"P4";"Pin_Header_Angled_1x06";1;"CONN_SerialProg";;;
7;"X1";"crystal_SMD_MJ__5.0x3.2mm_4pad_HandSoldering";1;"20MHz";;;
8;"U3";"HopeRF_S2_Package_SMD";1;"RFM69HW";;;
9;"C18,C15,C14,C12,C11,C9,C7,C6,C5,C3";"C_0805_HandSoldering";10;"100nF";;;
10;"C17,C13,C4";"C_0805_HandSoldering";3;"10uF";;;
11;"C10";"C_0805_HandSoldering";1;"10nF";;;
12;"C8";"C_0805_HandSoldering";1;"1uF";;;
13;"C2,C1";"C_0805_HandSoldering";2;"22pF";;;
14;"R6,R5";"R_0805_HandSoldering";2;"330R";;;
15;"R4";"R_0805_HandSoldering";1;"10k";;;
16;"R3";"R_0805_HandSoldering";1;"10R";;;
17;"R2,R1";"R_0805_HandSoldering";2;"4k7";;;
18;"P2";"Pin_Header_Straight_1x10";1;"CONN_SPI_5V";;;
19;"P5";"Pin_Header_Straight_1x03";1;"RFM69_ANA";;;
20;"P8";"Pin_Header_Straight_1x04";1;"CONN_UART";;;
21;"P11";"Pin_Header_Straight_1x04";1;"CONN_POWER";;;
22;"P12";"Pin_Header_Straight_1x02";1;"CONN_TWI";;;
23;"P6";"Pin_Header_Straight_1x12";1;"CONN_ADC";;;
24;"IC1";"TQFP-44_10x10mm_Pitch0.8mm_HandSolder";1;"ATMEGA1284P-A";;;
25;"P9";"Pin_Header_Straight_1x06";1;"CONN_PWM";;;
26;"P10";"Pin_Header_Straight_1x08";1;"CONN_IO";;;
27;"D1";"SOT23_Diode_Handsoldering_RevB_14Mar2014";1;"BAT54";;;
28;"U1";"SOT-23-5_TI_HandSoldering";1;"LP2985LV";;;
29;"NB1";"NetBridge_SMD";1;"NETBRIDGE";;;
30;"U2";"TSSOP-20_4.4x6.5mm_Pitch0.65mm_HandSoldering";1;"TI_TXB0108";;;
